disease_Gene,Cell type,P-value,Disease
USP1,CD1C-CD141- dendritic cell,0.016571166,Abnormality_Of_The_Cardiovascular_System
CELSR2,CD141+CLEC9A+ dendritic cell,0.012536163,Abnormality_Of_The_Cardiovascular_System
PSRC1,CD141+CLEC9A+ dendritic cell,0.012536163,Abnormality_Of_The_Cardiovascular_System
SELP,T cell,7.35E-05,Abnormality_Of_The_Cardiovascular_System
SELP,CD4+ T cell,0.011323568,Abnormality_Of_The_Cardiovascular_System
SELP,Naive T cell,0.001018805,Abnormality_Of_The_Cardiovascular_System
SELP,Platelet,0.006267767,Abnormality_Of_The_Cardiovascular_System
SELP,Monocyte,0.017861032,Abnormality_Of_The_Cardiovascular_System
SELP,Neutrophil,0.01199614,Abnormality_Of_The_Cardiovascular_System
SELP,CD8+ T cell,0.007449575,Abnormality_Of_The_Cardiovascular_System
SELP,Natural killer cell,0.013843064,Abnormality_Of_The_Cardiovascular_System
SELP,T helper cell,0.000339706,Abnormality_Of_The_Cardiovascular_System
SELP,Suppressor T cell,0.00050952,Abnormality_Of_The_Cardiovascular_System
SELP,Activated CD4+ T cell,0.003392386,Abnormality_Of_The_Cardiovascular_System
SELP,Regulatory T (Treg) cell,0.009304147,Abnormality_Of_The_Cardiovascular_System
SELP,Naive CD4+ T cell,0.007111924,Abnormality_Of_The_Cardiovascular_System
SELP,Thymic emigrant cell,0.000339706,Abnormality_Of_The_Cardiovascular_System
SELP,Central memory T cell,0.001867096,Abnormality_Of_The_Cardiovascular_System
SELP,Effector memory T cell,0.002714739,Abnormality_Of_The_Cardiovascular_System
SELP,Effector T cell,0.000679307,Abnormality_Of_The_Cardiovascular_System
SELP,M1 macrophage,0.002206231,Abnormality_Of_The_Cardiovascular_System
SELP,Naive CD8+ T cell,0.019031005,Abnormality_Of_The_Cardiovascular_System
SELP,Myeloid-derived suppressor cell,7.15E-06,Abnormality_Of_The_Cardiovascular_System
SELP,Granulocyte-monocyte progenitor,0.019865168,Abnormality_Of_The_Cardiovascular_System
SELP,Central memory CD8+ T cell,0.002036676,Abnormality_Of_The_Cardiovascular_System
SELP,Central memory CD4+ T cell,0.002036676,Abnormality_Of_The_Cardiovascular_System
SELP,CD14+ monocyte,0.00169749,Abnormality_Of_The_Cardiovascular_System
SELP,Effector CD4+ T cell,0.002036676,Abnormality_Of_The_Cardiovascular_System
SELP,Naive T(Th0) cell,0.003223013,Abnormality_Of_The_Cardiovascular_System
SELP,Naive CD4 T cell,0.001527858,Abnormality_Of_The_Cardiovascular_System
SELP,Memory T cell,0.003223013,Abnormality_Of_The_Cardiovascular_System
SELP,CD56bright Natural killer cell,0.000849069,Abnormality_Of_The_Cardiovascular_System
SELP,CD4+ central memory like T (Tcm-like) cell,0.001188515,Abnormality_Of_The_Cardiovascular_System
GALNT2,Plasmacytoid dendritic cell,0.005978667,Abnormality_Of_The_Cardiovascular_System
GALNT2,Multilymphoid progenitor cell,0.010120907,Abnormality_Of_The_Cardiovascular_System
R3HDM1,Granulocyte-monocyte progenitor,0.009981986,Abnormality_Of_The_Cardiovascular_System
UBXN4,Granulocyte-monocyte progenitor,0.007993524,Abnormality_Of_The_Cardiovascular_System
LCT,Granulocyte-monocyte progenitor,0.007993524,Abnormality_Of_The_Cardiovascular_System
MCM6,Granulocyte-monocyte progenitor,0.007993524,Abnormality_Of_The_Cardiovascular_System
DARS,Granulocyte-monocyte progenitor,0.007993524,Abnormality_Of_The_Cardiovascular_System
COLQ,Effector CD8+ memory T (Tem) cell,0.011358617,Abnormality_Of_The_Cardiovascular_System
RHOA,Effector CD8+ memory T (Tem) cell,0.043308622,Abnormality_Of_The_Cardiovascular_System
DAG1,Effector CD8+ memory T (Tem) cell,0.03645149,Abnormality_Of_The_Cardiovascular_System
HYAL3,Effector CD8+ memory T (Tem) cell,0.023983925,Abnormality_Of_The_Cardiovascular_System
NAT6,Effector CD8+ memory T (Tem) cell,0.023983925,Abnormality_Of_The_Cardiovascular_System
HYAL1,Effector CD8+ memory T (Tem) cell,0.023983925,Abnormality_Of_The_Cardiovascular_System
CACNA2D2,Effector CD8+ memory T (Tem) cell,0.025376907,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Myeloid dendritic cell,0.002613135,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Plasmacytoid dendritic cell,0.041109528,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Monocyte,0.012536163,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Neutrophil,0.008412273,Abnormality_Of_The_Cardiovascular_System
GOLGB1,B cell,0.010888573,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Dendritic cell,0.004509919,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Memory B cell,0.003680457,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Macrophage,0.004865222,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Myeloid cell,0.004628366,Abnormality_Of_The_Cardiovascular_System
GOLGB1,M1 macrophage,0.001544834,Abnormality_Of_The_Cardiovascular_System
GOLGB1,CD16+ dendritic cell (CD16+ DC),0.0002378,Abnormality_Of_The_Cardiovascular_System
GOLGB1,Activated memory B cell,0.001426073,Abnormality_Of_The_Cardiovascular_System
IQCB1,Myeloid dendritic cell,0.002613135,Abnormality_Of_The_Cardiovascular_System
IQCB1,Plasmacytoid dendritic cell,0.041109528,Abnormality_Of_The_Cardiovascular_System
IQCB1,Monocyte,0.012536163,Abnormality_Of_The_Cardiovascular_System
IQCB1,Neutrophil,0.008412273,Abnormality_Of_The_Cardiovascular_System
IQCB1,B cell,0.010888573,Abnormality_Of_The_Cardiovascular_System
IQCB1,Dendritic cell,0.004509919,Abnormality_Of_The_Cardiovascular_System
IQCB1,Memory B cell,0.003680457,Abnormality_Of_The_Cardiovascular_System
IQCB1,Macrophage,0.004865222,Abnormality_Of_The_Cardiovascular_System
IQCB1,Myeloid cell,0.004628366,Abnormality_Of_The_Cardiovascular_System
IQCB1,M1 macrophage,0.001544834,Abnormality_Of_The_Cardiovascular_System
IQCB1,CD16+ dendritic cell (CD16+ DC),0.0002378,Abnormality_Of_The_Cardiovascular_System
IQCB1,Activated memory B cell,0.001426073,Abnormality_Of_The_Cardiovascular_System
EAF2,Myeloid dendritic cell,0.00224023,Abnormality_Of_The_Cardiovascular_System
EAF2,Plasmacytoid dendritic cell,0.035341569,Abnormality_Of_The_Cardiovascular_System
EAF2,Monocyte,0.01075486,Abnormality_Of_The_Cardiovascular_System
EAF2,Neutrophil,0.007214806,Abnormality_Of_The_Cardiovascular_System
EAF2,B cell,0.009340272,Abnormality_Of_The_Cardiovascular_System
EAF2,Dendritic cell,0.00386686,Abnormality_Of_The_Cardiovascular_System
EAF2,Memory B cell,0.003155481,Abnormality_Of_The_Cardiovascular_System
EAF2,Macrophage,0.004171607,Abnormality_Of_The_Cardiovascular_System
EAF2,Myeloid cell,0.003968451,Abnormality_Of_The_Cardiovascular_System
EAF2,M1 macrophage,0.001324278,Abnormality_Of_The_Cardiovascular_System
EAF2,CD16+ dendritic cell (CD16+ DC),0.00020383,Abnormality_Of_The_Cardiovascular_System
EAF2,Activated memory B cell,0.001222463,Abnormality_Of_The_Cardiovascular_System
GC,Plasmacytoid dendritic cell,0.005978667,Abnormality_Of_The_Cardiovascular_System
MEPE,Macrophage,0.001392426,Abnormality_Of_The_Cardiovascular_System
TMEM154,Cancer cell,0.00581177,Abnormality_Of_The_Cardiovascular_System
TMEM154,CD1C-CD141- dendritic cell,0.038239681,Abnormality_Of_The_Cardiovascular_System
IRX4,Plasmacytoid dendritic cell,0.005978667,Abnormality_Of_The_Cardiovascular_System
ITGA2,Monocyte,0.007182577,Abnormality_Of_The_Cardiovascular_System
ITGA2,Natural killer cell,0.005560015,Abnormality_Of_The_Cardiovascular_System
ITGA2,Myeloid-derived suppressor cell,0.001629729,Abnormality_Of_The_Cardiovascular_System
ITGA2,Effector memory CD8+ T cell,0.000747206,Abnormality_Of_The_Cardiovascular_System
ITGA2,Tissue resident memory T(TRM) cell,0.000883017,Abnormality_Of_The_Cardiovascular_System
SGCD,T cell,0.003868008,Abnormality_Of_The_Cardiovascular_System
SGCD,CD8+ T cell,0.002240591,Abnormality_Of_The_Cardiovascular_System
SGCD,Leukocyte,0.001578947,Abnormality_Of_The_Cardiovascular_System
SGCD,Cancer stem cell,0.001324391,Abnormality_Of_The_Cardiovascular_System
SGCD,CD141+CLEC9A+ dendritic cell,0.005391829,Abnormality_Of_The_Cardiovascular_System
SGCD,Leukemic stem cell,0.000764214,Abnormality_Of_The_Cardiovascular_System
SGCD,Exhausted CD8+ T cell,0.000356682,Abnormality_Of_The_Cardiovascular_System
SGCD,Exhausted CD4+ T cell,0.000356682,Abnormality_Of_The_Cardiovascular_System
SGCD,Exhausted T(Tex) cell,0.000356682,Abnormality_Of_The_Cardiovascular_System
TPMT,CD1C-CD141- dendritic cell,9.19E-05,Abnormality_Of_The_Cardiovascular_System
SCGN,Multilymphoid progenitor cell,0.008584745,Abnormality_Of_The_Cardiovascular_System
HIST1H2AA,Multilymphoid progenitor cell,0.006310137,Abnormality_Of_The_Cardiovascular_System
HIST1H2BA,Multilymphoid progenitor cell,0.006310137,Abnormality_Of_The_Cardiovascular_System
SLC17A4,Multilymphoid progenitor cell,0.005293778,Abnormality_Of_The_Cardiovascular_System
SLC17A1,Multilymphoid progenitor cell,0.006310137,Abnormality_Of_The_Cardiovascular_System
SLC17A3,Multilymphoid progenitor cell,0.008584745,Abnormality_Of_The_Cardiovascular_System
SLC17A2,Multilymphoid progenitor cell,0.009839216,Abnormality_Of_The_Cardiovascular_System
TRIM38,Multilymphoid progenitor cell,0.009839216,Abnormality_Of_The_Cardiovascular_System
HIST1H1A,Multilymphoid progenitor cell,0.008584465,Abnormality_Of_The_Cardiovascular_System
HIST1H3A,Multilymphoid progenitor cell,0.008584465,Abnormality_Of_The_Cardiovascular_System
HIST1H4A,Multilymphoid progenitor cell,0.008584465,Abnormality_Of_The_Cardiovascular_System
HIST1H4B,Multilymphoid progenitor cell,0.008584465,Abnormality_Of_The_Cardiovascular_System
HIST1H3B,Multilymphoid progenitor cell,0.007407465,Abnormality_Of_The_Cardiovascular_System
HIST1H2AB,Multilymphoid progenitor cell,0.007407465,Abnormality_Of_The_Cardiovascular_System
HIST1H2BB,Multilymphoid progenitor cell,0.008584465,Abnormality_Of_The_Cardiovascular_System
HIST1H3C,Multilymphoid progenitor cell,0.009839216,Abnormality_Of_The_Cardiovascular_System
HIST1H1C,Multilymphoid progenitor cell,0.009839216,Abnormality_Of_The_Cardiovascular_System
HFE,Multilymphoid progenitor cell,0.015601839,Abnormality_Of_The_Cardiovascular_System
