disease_Gene,Cell type,P-value,Disease
AGBL2,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
AGBL2,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
CACNA1A,macrophage,0.009295813,Abnormality_Of_The_Cardiovascular_System
CELF1,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
CELF1,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
CIDEA,monocyte,0.000848608,Abnormality_Of_The_Cardiovascular_System
COLQ,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.002543708,Abnormality_Of_The_Cardiovascular_System
DYNC2H1,neutrophil,0.000848608,Abnormality_Of_The_Cardiovascular_System
EIF3K,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.001696511,Abnormality_Of_The_Cardiovascular_System
FAM180B,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
FAM180B,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
FLNC,macrophage,0.001696482,Abnormality_Of_The_Cardiovascular_System
FNBP4,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
FNBP4,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
HFE,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H1A,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H1C,type i nk t cell,0.002543708,Abnormality_Of_The_Cardiovascular_System
HIST1H1T,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H2AA,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H2AB,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H2AC,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H2BA,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H2BB,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H2BC,type i nk t cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
HIST1H3A,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H3B,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H3C,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H4A,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
HIST1H4B,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
KBTBD4,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
KBTBD4,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
KCNK5,hematopoietic stem cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
KCNK5,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
KIFC3,neutrophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
MAP4K1,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.001696511,Abnormality_Of_The_Cardiovascular_System
MEPE,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
MMP3,neutrophil,0.003390143,Abnormality_Of_The_Cardiovascular_System
NACC1,macrophage,0.007612116,Abnormality_Of_The_Cardiovascular_System
NCKAP5,memory b cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
NDUFS3,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
NDUFS3,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
NUP160,plasmacytoid dendritic cell,0.001696511,Abnormality_Of_The_Cardiovascular_System
NUP160,basophil,0.001696511,Abnormality_Of_The_Cardiovascular_System
PTPRJ,plasmacytoid dendritic cell,0.003390201,Abnormality_Of_The_Cardiovascular_System
PTPRJ,basophil,0.003390201,Abnormality_Of_The_Cardiovascular_System
SCGN,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
SGCD,"cd4-positive, alpha-beta memory t cell",0.002543708,Abnormality_Of_The_Cardiovascular_System
SLC17A1,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
SLC17A2,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
SLC17A3,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
SLC17A4,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
